,Country,Capital City,Nationality,Latitude,Longitude,Austrian,Belgian,Czech,French,German,Greek,Hungarian,Italian,Dutch,Polish,Portuguese,Slovak,Spanish
0,Austria,Vienna,Austrian,48.2083537,16.3725042,0,5,15,57,65,63,10,195,1,4,4,1,29
1,Belgium,Brussels,Belgian,50.8436709,4.3674366933879565,3,0,1,269,5,130,4,232,40,6,32,1,89
2,Bulgaria,Sofia,Bulgarian,42.6978634,23.3221789,3,8,12,58,17,48,1,112,2,0,0,0,19
3,Croatia,Zagreb,Croatian,45.813177,15.977048,3,3,1,17,4,4,1,40,0,0,0,0,7
4,Cyprus,Nicosia,Cypriot,35.1739302,33.364726,1,4,0,15,5,114,1,52,0,1,1,0,5
5,Czechia,Prague,Czech,50.0874654,14.4212535,9,21,0,131,24,34,5,176,2,4,1,0,32
6,Denmark,Copenhagen,Danish,55.6867243,12.5700724,4,17,6,125,7,16,2,134,0,5,1,0,35
7,Estonia,Tallinn,Estonian,59.4372155,24.7453688,1,7,1,26,12,8,0,52,2,1,2,0,5
8,Finland,Helsinki,Finnish,60.1674098,24.9425769,1,13,2,39,14,15,3,114,0,0,1,0,23
9,France,Paris,French,48.8566969,2.3514616,0,42,2,0,29,83,4,268,8,4,45,0,156
10,Germany,Berlin,German,52.5170365,13.3888599,37,23,12,153,0,157,9,258,11,11,20,0,101
11,Greece,Athens,Greek,37.9841493,23.7279843,2,8,3,91,12,0,0,193,1,4,1,0,21
12,Hungary,Budapest,Hungarian,47.48138955,19.14607278448202,4,35,36,115,21,54,0,120,2,4,4,0,30
13,Ireland,Dublin,Irish,53.3497645,-6.2602732,0,8,9,83,9,20,2,144,2,5,11,0,32
14,Italy,Rome,Italian,41.8933203,12.4829321,1,12,1,44,17,18,1,0,4,4,2,0,81
15,Latvia,Riga,Latvian,56.9493977,24.1051846,10,9,4,43,13,5,4,60,0,1,3,0,13
16,Lithuania,Vilnius,Lithuanian,54.6870458,25.2829111,0,11,3,29,4,5,0,51,0,4,3,0,5
17,Luxembourg,Luxembourg,Luxembourgish,49.8158683,6.1296751,0,2,0,27,6,0,0,26,1,0,4,0,2
18,Malta,Valletta,Maltese,35.8989818,14.5136759,0,6,1,12,4,5,3,77,2,3,1,0,10
19,Netherlands,Amsterdam,Dutch,52.3727598,4.8936041,3,59,3,249,20,51,4,252,0,4,15,0,88
20,Poland,Warsaw,Polish,52.2337172,21.07141112883227,4,8,9,58,6,13,8,174,0,0,4,1,24
21,Portugal,Lisbon,Portuguese,38.7077507,-9.1365919,4,3,1,54,6,11,1,133,2,0,0,0,118
22,Romania,Bucharest,Romanian,44.4361414,26.1027202,3,15,4,75,20,49,4,157,1,0,4,0,11
23,Slovakia,Bratislava,Slovak,48.1516988,17.1093063,7,8,21,29,4,10,9,82,0,0,1,0,13
24,Slovenia,Ljubljana,Slovenian,46.0499803,14.5068602,0,5,3,12,3,6,0,39,0,0,0,0,5
25,Spain,Madrid,Spanish,40.4167047,-3.7035825,1,8,2,73,24,19,1,132,1,1,20,0,0
26,Sweden,Stockholm,Swedish,59.3251172,18.0710935,3,12,9,95,14,48,2,168,2,6,2,0,53
